9274;Aktiebolag;1949;Skåne Län;Åkarp;-6321;0;247;1795;3493;0;190;630;2863;-58;0;1197;3;6006;207;2019
6557;Aktiebolag;1949;Stockholms Län;Spånga;0;0;0;6;11;1227;0;0;-1216;0;0;0;0;2;2;2019
2212;Aktiebolag;1949;Stockholms Län;Kista;-1724081;17494;356563;1279;762144;0;94720;478480;106031;-14336;3941;263881;257;1792057;44772;2019
7080;Aktiebolag;1951;Västra Götalands Län;Timmersdala;-302;36952;5969;1;98586;26582;3033;28957;14122;-59;314;31152;91;102947;343;2019
7339;Aktiebolag;1952;Stockholms Län;Danderyd;0;20;144;42700;717347;0;9;8391;684636;-7302;561018;113219;3;248698;27038;2019
1592;Aktiebolag;1953;Västra Götalands Län;Borås;-5043;837;171;1168;2580;444;2;1255;545;-18;181;83;5;5287;1;2019
1663;Aktiebolag;1953;Västra Götalands Län;Göteborg;-21986;1276;2404;30;8815;715;857;4710;2912;-222;0;5085;14;24095;802;2019
1291;Aktiebolag;1953;Skåne Län;Lund;0;143000;0;146000;4421000;0;67000;1218000;2244000;61000;85000;158000;485;1812000;-245000;2019
9894;Aktiebolag;1954;Stockholms Län;Sollentuna;-17165;4709;91342;108;489492;0;9260;268069;221423;-12822;9600;205116;63;816508;37228;2019
1093;Aktiebolag;1954;Värmlands Län;Karlstad;-228;0;0;4554;6390;0;0;0;390;-107;28;0;2;581;235;2019
4422;Aktiebolag;1955;Uppsala Län;Enköping;-512754;1496;720;0;526838;0;36086;43728;481275;-39;361614;102890;47;513255;230676;2019
8497;Aktiebolag;1955;Södermanlands Län;Gnesta;-163;35141;8182;5938;82901;73943;4397;6740;790;0;0;2759;13;44264;300;2019
6014;Aktiebolag;1956;Stockholms Län;Arlandastad;-69792;7626;5953;6456;38779;0;755;4436;34343;0;0;15662;10;66535;-3274;2019
2421;Aktiebolag;1956;Stockholms Län;Solna;-11664;37478;0;0;656130;0;27252;240810;415320;-16933;47420;458;183;1181062;50624;2019
3611;Aktiebolag;1957;Skåne Län;Malmö;-705031;625;201801;154792;534573;0;42595;81256;315362;-17646;0;164326;51;796318;62666;2019
8362;Publikt aktiebolag;1957;Östergötlands Län;Linköping;-163952;23506;11133;246077;1019477;2951;6744;404729;607297;-57640;266587;0;72;151363;224758;2019
5470;Aktiebolag;1958;Stockholms Län;Solna;-1313;53022;66956;0;323433;0;7460;146773;176099;-27257;0;6231;96;649323;98587;2019
4931;Aktiebolag;1959;Stockholms Län;Stockholm;-76255;1048;11232;0;83759;0;830;39404;44355;0;38879;1082;16;75776;1718;2019
1094;Aktiebolag;1959;Stockholms Län;Solna;0;0;0;0;108;0;0;0;108;0;0;0;0;0;0;2019
4989;Aktiebolag;1960;Skåne Län;Malmö;-368;296;21138;2645;127475;2119;5396;95632;11130;-1380;28287;66586;34;199584;2368;2019
6808;Aktiebolag;1960;Stockholms Län;Stockholm;-178565;0;30184;5768;94024;0;3529;47304;46720;-1807;0;45269;18;186295;5732;2019
2739;Aktiebolag;1960;Västra Götalands Län;Västra Frölunda;-809;4;1156;62;1440;0;71;302;632;-87;0;0;1;1339;316;2019
1270;Aktiebolag;1960;Uppsala Län;Uppsala;-103;0;68;73;146;0;0;91;55;0;0;6;1;102;-1;2019
3254;Aktiebolag;1960;Stockholms Län;Sundbyberg;-931;0;0;490;538;0;10;77;461;0;1;0;0;0;-932;2019
5201;Aktiebolag;1961;Kalmar Län;Kalmar;-16499;0;5274;166;6859;0;114;2705;4153;0;0;0;3;15823;-703;2019
8303;Aktiebolag;1961;Skåne Län;Fjälkinge;-191;0;0;181;847;0;0;44;803;0;0;1;0;146;676;2019
9659;Aktiebolag;1961;Hallands Län;Kungsbacka;-135179;7532;15984;3290;54815;0;3787;9040;30240;-1307;0;23817;19;139715;4401;2019
7690;Aktiebolag;1961;Västra Götalands Län;Göteborg;-168;0;0;121;2717;111;0;33;2574;1;900;24;0;0;348;2019
2086;Aktiebolag;1962;Stockholms Län;Sollentuna;-4400;0;370;1152;2079;400;645;702;977;0;0;0;1;5324;602;2019
8521;Aktiebolag;1962;Stockholms Län;Stockholm;-1;0;0;4;155;0;0;0;155;0;0;0;0;0;-1;2019
9487;Aktiebolag;1963;Skåne Län;Malmö;-64161;15;6010;0;27531;0;495;12351;14377;-876;204;8034;3;67564;2951;2019
7291;Aktiebolag;1963;Skåne Län;Kristianstad;-26451;152;2651;968;10524;0;1218;5551;3773;-196;0;4210;20;29083;625;2019
4245;Aktiebolag;1963;Skåne Län;Helsingborg;-26702;47;4347;5651;17114;0;4490;7998;5216;-458;46;2756;7;28795;1618;2019
1002;Aktiebolag;1964;Stockholms Län;Danderyd;-440;533;11012;0;73350;0;4582;13996;17440;-33;45000;4335;22;64266;81;2019
2790;Aktiebolag;1964;Stockholms Län;Solna;-2298116;3868;321040;361216;1400150;0;37558;1053123;336005;-25721;11022;654358;130;2416762;89478;2019
1822;Aktiebolag;1964;Stockholms Län;Solna;-147119;2118;41198;12276;143848;0;4184;114686;29162;-3262;17463;0;65;162146;11732;2019
8656;Aktiebolag;1965;Skåne Län;Helsingborg;-21578;1949;2120;0;20743;0;386;2008;7298;-1720;0;3346;11;32152;6184;2019
6612;Aktiebolag;1965;Östergötlands Län;Tranås;-243;428;0;772;1804;0;0;30;1533;-14;435;0;1;290;342;2019
9142;Aktiebolag;1965;Stockholms Län;Upplands Väsby;-121555;0;17732;2460;102359;0;7382;25693;71158;-1262;1154;24652;39;127080;45793;2019
9494;Aktiebolag;1965;Kronobergs Län;Diö;0;19367;0;4;48758;1953;10454;23606;18350;-651;0;0;99;126246;2195;2019
4827;Aktiebolag;1965;Västra Götalands Län;Askim;-94333;10194;9563;0;51426;0;8153;22795;23381;-65;14734;12445;24;100476;558;2019
2827;Aktiebolag;1966;Stockholms Län;Saltsjö-boo;-6698;0;1248;170;3613;0;280;1967;734;-169;1807;292;2;7751;588;2019
8102;Aktiebolag;1966;Västra Götalands Län;Mullsjö;-437;0;0;190;190;49;0;41;100;-39;0;0;0;622;147;2019
8026;Aktiebolag;1966;Stockholms Län;Sollentuna;-6059;0;1913;505;3278;0;117;1530;1748;-4;0;625;2;6095;33;2019
2024;Aktiebolag;1966;Stockholms Län;Stockholm;-210;125;0;64;248;112;0;32;104;0;0;0;0;53;-158;2019
6619;Aktiebolag;1966;Stockholms Län;Huddinge;-64;0;11;68;178;0;0;130;48;0;0;83;0;52;-12;2019
8737;Aktiebolag;1966;Stockholms Län;Solna;0;5429;100148;86382;224130;0;9699;68695;155435;-2239;0;14674;67;408118;-473;2019
4404;Aktiebolag;1966;Västra Götalands Län;Göteborg;-372645;12155;39566;0;146978;0;18338;69154;77824;-1077;0;42055;65;365800;2567;2019
1673;Aktiebolag;1966;Stockholms Län;Solna;-1620743;14942;408335;0;822655;0;77174;608965;203752;0;1672;20820;299;1590670;-30728;2019
3424;Aktiebolag;1967;Stockholms Län;Stockholm;-617839;210;153024;0;486551;0;14545;378467;108084;-9129;549;33772;47;641697;32159;2019
9604;Aktiebolag;1967;Örebro Län;Örebro;-543;0;170;781;1315;0;16;1148;167;-8;0;325;1;579;28;2019
4048;Aktiebolag;1967;Östergötlands Län;Norrköping;-311180;13052;17154;35958;136587;48000;5085;36435;33791;-872;37241;906;100;310931;-7975;2019
1249;Aktiebolag;1967;Stockholms Län;Rosersberg;-2138;0;323;905;1452;0;94;310;1113;-64;0;168;2;2433;214;2019
